gene_ID,ntf
AT2G25140,CLPB4
AT3G12060,TBL1
AT4G21510,FBS2
AT5G24660,LSU2
AT4G32570,TIFY8
AT3G03900,APK3
AT5G63530,FP3
AT3G12580,HSP70
AT3G18090,NRPD2B
AT5G60810,RGF1
AT5G54470,BBX29
AT2G27040,AGO4
AT1G17480,IQD7
AT4G10640,IQD16
AT2G04025,RGF3
AT3G13620,PUT4
AT2G21800,EME1A
AT5G60210,RIP5
AT5G54390,HL
AT4G18480,CHLI1
AT2G34850,MEE25
AT5G11510,MYB3R-4
AT4G35390,AGF1
AT5G64860,DPE1
AT2G40550,ETG1
AT1G70940,PIN3
AT3G55660,ROPGEF6
AT5G37020,ARF8
AT1G31280,AGO2
AT1G14410,WHY1
AT1G04050,SUVR1
AT3G53540,TRM19
AT5G03940,CPSRP54
AT2G45760,BAP2
AT1G80710,DRS1
AT4G27990,YLMG1-2
AT2G47260,WRKY23
AT4G30340,DGK7
AT4G29730,NFC5
AT4G21270,ATK1
AT1G02280,TOC33
AT1G54350,ABCD2
AT3G50240,KICP-02
AT1G09810,ECT11
AT1G59990,EMB3108
AT4G37930,SHM1
AT1G11130,SUB
AT1G67080,ABA4
AT3G59100,GSL11
AT3G23670,KINESIN-12B
AT2G03050,EMB93
AT5G09690,MGT7
AT3G58650,TRM7
AT1G23860,RSZ21
AT2G21590,APL4
AT1G23380,KNAT6
AT5G67600,WIH1
AT5G19160,TBL11
AT2G47860,SETH6
AT3G26060,PRXQ
AT3G02515,SADHU6-1
AT2G39930,ISA1
AT3G22400,LOX5
AT4G39210,APL3
AT4G27260,WES1
AT5G10510,AIL6
AT2G39290,PGP1
AT1G06190,RHON1
AT2G26330,ER
AT5G27030,TPR3
AT1G73060,LPA3
AT1G59980,ARL2
AT5G17230,PSY
AT1G17380,JAZ5
AT1G77390,CYCA1;2
AT5G14640,SK13
AT1G10830,Z-ISO
AT3G23780,NRPD2A
AT1G34355,PS1
AT4G09960,STK
AT5G55760,SRT1
AT2G21050,LAX2
AT1G18370,HIK
AT1G58470,RBP1
AT2G38230,PDX1.1
AT3G42670,CHR38
AT3G55560,AGF2
AT5G45160,RL2
AT1G16780,VHP2;2
AT5G39820,NAC094
AT4G15110,CYP97B3
AT3G03950,ECT1
AT1G71750,HGPT
AT5G23780,DUF9
AT1G48350,EMB3105
